               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13179,            0.034405,          4.5108e-08,           0.0012644,            0.010319,          0.00078879,          0.00015025,             0.11656,            0.055603,          3.1291e-08,            0.070361,           0.0032932,           0.0032932
                   1,             0.12312,            0.038589,          3.7226e-08,          0.00037037,           0.0028143,          0.00018575,          2.4795e-05,             0.11407,            0.053123,          3.3574e-08,            0.040351,           0.0066156,           0.0066156
                   2,             0.11746,             0.03664,          3.6756e-08,            0.047512,            0.091932,            0.016734,           0.0040965,             0.11254,            0.043643,          3.9149e-08,            0.010329,            0.009927,            0.009927
                   3,             0.11445,            0.035706,          4.4004e-08,            0.074153,             0.10507,            0.026835,           0.0070778,             0.10777,            0.042623,          5.5293e-08,           0.0099505,           0.0099505,           0.0099505
                   4,             0.10939,            0.036123,          4.5783e-08,             0.13063,             0.14259,            0.046531,            0.010378,             0.10424,            0.040727,          5.5876e-08,           0.0099505,           0.0099505,           0.0099505
                   5,             0.10662,            0.037034,          4.3638e-08,            0.079913,              0.1257,            0.025464,           0.0071298,              0.1028,            0.042342,          4.7618e-08,            0.009934,            0.009934,            0.009934
                   6,             0.10362,            0.032503,           4.195e-08,             0.10685,             0.10507,            0.034785,           0.0084424,             0.10024,            0.047578,          4.9065e-08,           0.0099175,           0.0099175,           0.0099175
                   7,              0.1041,            0.035097,          4.2702e-08,             0.13198,             0.21857,            0.075005,            0.018648,            0.096711,            0.039124,          4.2304e-08,            0.009901,            0.009901,            0.009901
                   8,             0.10076,            0.033271,          4.2247e-08,             0.13451,             0.18199,            0.070662,            0.016605,              0.1007,            0.038495,          4.1753e-08,           0.0098845,           0.0098845,           0.0098845
                   9,             0.09798,            0.033772,          4.3062e-08,             0.22352,             0.35366,             0.14678,            0.033913,            0.096099,            0.038322,          4.5562e-08,            0.009868,            0.009868,            0.009868
                  10,            0.096853,            0.037352,          4.5422e-08,              0.2921,              0.3743,               0.209,             0.04832,             0.09337,            0.038189,          4.4952e-08,           0.0098515,           0.0098515,           0.0098515
                  11,            0.093338,             0.03579,          4.5958e-08,             0.29665,             0.39962,             0.21649,            0.050117,             0.09215,            0.038236,          4.6322e-08,            0.009835,            0.009835,            0.009835
                  12,            0.098054,            0.034385,          4.3836e-08,             0.28707,             0.37054,             0.20373,            0.046377,            0.090953,            0.040392,          4.3044e-08,           0.0098185,           0.0098185,           0.0098185
                  13,            0.093687,            0.035432,          4.2281e-08,             0.32733,             0.40807,             0.26034,            0.058565,            0.089013,             0.03986,          4.2557e-08,            0.009802,            0.009802,            0.009802
                  14,             0.09347,            0.034628,          4.1802e-08,             0.32189,             0.41932,             0.23621,            0.051516,            0.091632,            0.036783,          3.9991e-08,           0.0097855,           0.0097855,           0.0097855
                  15,            0.090805,            0.034549,          4.1761e-08,             0.25024,             0.40338,              0.1706,            0.035667,            0.093755,            0.035482,          3.9851e-08,            0.009769,            0.009769,            0.009769
                  16,            0.090974,            0.032699,          4.1249e-08,             0.19058,             0.31989,             0.10853,            0.023252,            0.096662,            0.035842,          4.2239e-08,           0.0097525,           0.0097525,           0.0097525
                  17,            0.091548,            0.038961,          4.0888e-08,             0.34219,             0.47842,             0.28888,            0.067933,            0.087812,            0.036537,           3.876e-08,            0.009736,            0.009736,            0.009736
                  18,            0.091326,            0.032664,          4.0143e-08,             0.42435,              0.4803,             0.36151,            0.086106,            0.086081,            0.037276,          3.8746e-08,           0.0097195,           0.0097195,           0.0097195
                  19,            0.090843,             0.03285,          3.9611e-08,             0.22746,             0.35929,              0.1413,            0.029799,            0.093502,            0.036007,          3.9089e-08,            0.009703,            0.009703,            0.009703
                  20,             0.09079,            0.033558,          3.9673e-08,             0.41479,             0.46623,             0.35999,            0.089797,            0.086244,            0.036944,          3.7959e-08,           0.0096865,           0.0096865,           0.0096865
                  21,            0.088321,            0.034148,          3.9179e-08,             0.43212,             0.48182,             0.37841,            0.090404,            0.084619,             0.03673,          3.7397e-08,             0.00967,             0.00967,             0.00967
                  22,            0.090436,            0.035941,          3.8676e-08,               0.506,             0.50637,             0.44622,             0.11613,            0.081962,             0.03671,          3.7552e-08,           0.0096535,           0.0096535,           0.0096535
                  23,            0.090036,            0.038182,          3.8425e-08,             0.51183,             0.51932,             0.42614,             0.11479,            0.081803,            0.036366,          3.6547e-08,            0.009637,            0.009637,            0.009637
                  24,             0.08866,            0.034814,          3.8798e-08,             0.52646,             0.50563,             0.44923,             0.11782,            0.081871,            0.036188,           3.659e-08,           0.0096205,           0.0096205,           0.0096205
                  25,            0.088253,            0.032792,          3.8622e-08,             0.33335,             0.39775,             0.23315,            0.054051,            0.091349,            0.035374,          3.8401e-08,            0.009604,            0.009604,            0.009604
                  26,            0.088583,             0.03311,          3.8119e-08,             0.50096,             0.51689,             0.43743,             0.11264,            0.081444,            0.036363,          3.7949e-08,           0.0095875,           0.0095875,           0.0095875
                  27,            0.085227,            0.038673,          3.8418e-08,             0.43528,             0.51407,             0.36992,            0.086992,            0.084521,            0.035208,          3.7096e-08,            0.009571,            0.009571,            0.009571
                  28,            0.087895,            0.032288,          3.7819e-08,             0.45903,             0.53333,             0.39392,             0.09584,            0.081198,            0.035673,          3.6848e-08,           0.0095545,           0.0095545,           0.0095545
                  29,            0.083251,            0.030119,          3.8669e-08,             0.41299,             0.47936,             0.33633,            0.078124,            0.083741,            0.034747,          3.7418e-08,            0.009538,            0.009538,            0.009538
                  30,            0.088244,             0.03359,          3.8072e-08,               0.528,             0.56285,             0.48498,             0.13403,            0.078823,            0.036065,          3.8161e-08,           0.0095215,           0.0095215,           0.0095215
                  31,            0.085236,            0.032923,          3.8045e-08,             0.47619,             0.50563,             0.40301,            0.098067,            0.082491,            0.035167,          3.7057e-08,            0.009505,            0.009505,            0.009505
                  32,            0.084262,            0.032023,          3.7598e-08,             0.55896,             0.57505,             0.50921,             0.14308,            0.078439,             0.03544,          3.6504e-08,           0.0094885,           0.0094885,           0.0094885
                  33,            0.086011,            0.031958,          3.7572e-08,             0.59583,             0.61351,             0.54833,             0.16023,            0.077794,            0.036812,          3.6767e-08,            0.009472,            0.009472,            0.009472
                  34,             0.08464,            0.032715,           3.673e-08,             0.56457,             0.52251,             0.51288,             0.13891,            0.078911,            0.035744,          3.6665e-08,           0.0094555,           0.0094555,           0.0094555
                  35,            0.085089,            0.036001,          3.6866e-08,             0.58263,              0.5863,              0.5449,             0.16067,            0.078353,            0.035593,          3.6397e-08,            0.009439,            0.009439,            0.009439
                  36,            0.083164,            0.034188,          3.6863e-08,             0.61967,             0.59761,             0.57243,              0.1758,            0.076868,            0.035219,          3.5978e-08,           0.0094225,           0.0094225,           0.0094225
                  37,            0.082833,            0.029357,          3.6875e-08,             0.57503,             0.55441,             0.52371,             0.14574,            0.078235,            0.035342,          3.5542e-08,            0.009406,            0.009406,            0.009406
                  38,            0.082021,            0.029401,          3.6822e-08,             0.59831,             0.60222,             0.55846,             0.17008,            0.076519,            0.035306,           3.653e-08,           0.0093895,           0.0093895,           0.0093895
                  39,            0.083506,            0.031291,           3.744e-08,             0.58771,             0.57902,             0.51281,             0.14339,            0.080176,            0.040438,          3.8659e-08,            0.009373,            0.009373,            0.009373
