               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13818,             0.16115,          4.1127e-08,           0.0066667,            0.010029,           0.0033733,          0.00067716,             0.12507,             0.27471,          3.0863e-08,              0.0937,              0.0007,              0.0007
                   1,             0.13743,              0.1398,          4.1063e-08,           0.0052381,           0.0091935,           0.0026544,          0.00049889,             0.12456,             0.27798,          3.0889e-08,            0.086498,           0.0014975,           0.0014975
                   2,             0.13865,             0.15806,          4.1209e-08,           0.0059524,            0.010447,           0.0030207,          0.00059662,             0.12427,              0.2792,          3.0853e-08,            0.079292,           0.0022924,           0.0022924
                   3,              0.1352,             0.15702,          4.1056e-08,           0.0071429,            0.012537,            0.003684,          0.00076936,             0.12401,             0.28072,          3.0935e-08,            0.072085,           0.0030847,           0.0030847
                   4,             0.13536,             0.14859,          3.9634e-08,           0.0092308,            0.015044,           0.0048683,           0.0010273,              0.1236,              0.2838,          3.0913e-08,            0.064874,           0.0038743,           0.0038743
                   5,             0.13666,             0.13891,           4.008e-08,           0.0097222,            0.014626,           0.0057199,           0.0013754,             0.12333,             0.28506,          3.0842e-08,            0.057661,           0.0046612,           0.0046612
                   6,             0.13251,             0.16432,          3.8277e-08,           0.0091667,             0.01379,           0.0048514,          0.00097172,             0.12301,             0.28697,          3.0683e-08,            0.050446,           0.0054456,           0.0054456
                   7,             0.13293,             0.16231,          3.8053e-08,           0.0086111,            0.012954,           0.0043634,          0.00076122,             0.12235,             0.29029,          3.0776e-08,            0.043227,           0.0062272,           0.0062272
                   8,             0.13179,             0.14874,          3.8031e-08,           0.0063889,           0.0096114,           0.0032405,          0.00056267,             0.12136,             0.29192,          3.1041e-08,            0.036006,           0.0070063,           0.0070063
                   9,             0.13193,             0.15424,          3.8797e-08,           0.0063889,           0.0096114,           0.0032405,          0.00056267,             0.12136,             0.29192,          3.1041e-08,            0.028783,           0.0077827,           0.0077827
                  10,             0.13119,             0.14499,          3.8366e-08,            0.014667,            0.018387,            0.013147,           0.0044434,             0.12093,             0.27437,          3.2068e-08,            0.021556,           0.0085565,           0.0085565
                  11,             0.13199,              0.1487,          3.8716e-08,            0.014667,            0.018387,            0.013147,           0.0044434,             0.12093,             0.27437,          3.2068e-08,            0.014328,           0.0093276,           0.0093276
                  12,              0.1301,             0.13582,          3.9287e-08,             0.14933,             0.18721,            0.099518,            0.028233,             0.12247,             0.21358,          3.4827e-08,            0.009802,            0.009802,            0.009802
                  13,             0.13035,             0.12265,          4.0196e-08,             0.14933,             0.18721,            0.099518,            0.028233,             0.12247,             0.21358,          3.4827e-08,            0.009802,            0.009802,            0.009802
                  14,             0.13107,             0.11637,          4.1326e-08,             0.12667,              0.1588,            0.078572,            0.021721,             0.12366,             0.18817,          3.7638e-08,           0.0097855,           0.0097855,           0.0097855
                  15,             0.13064,              0.1014,          4.2704e-08,             0.12148,             0.13707,            0.071533,            0.019968,             0.12366,             0.18817,          3.7638e-08,            0.009769,            0.009769,            0.009769
                  16,             0.13079,             0.12943,          4.0218e-08,               0.103,             0.12913,            0.062924,             0.01631,              0.1241,             0.21402,          4.7368e-08,           0.0097525,           0.0097525,           0.0097525
                  17,             0.12922,             0.12333,           3.931e-08,               0.103,             0.12913,            0.062924,             0.01631,              0.1241,             0.21402,          4.7368e-08,            0.009736,            0.009736,            0.009736
                  18,             0.12751,             0.10115,          4.1558e-08,            0.084333,             0.10573,             0.04734,            0.012343,             0.12274,               0.168,          4.5446e-08,           0.0097195,           0.0097195,           0.0097195
                  19,             0.12494,             0.10956,          3.9021e-08,            0.084333,             0.10573,             0.04734,            0.012343,             0.12274,               0.168,          4.5446e-08,            0.009703,            0.009703,            0.009703
                  20,             0.12655,             0.11496,          3.8384e-08,                0.07,            0.087756,            0.038376,            0.008947,             0.12316,             0.18544,          5.5263e-08,           0.0096865,           0.0096865,           0.0096865
                  21,             0.12506,             0.12233,           3.871e-08,                0.07,            0.087756,            0.038376,            0.008947,             0.12316,             0.18544,          5.5263e-08,             0.00967,             0.00967,             0.00967
                  22,             0.12665,            0.099741,          3.9862e-08,               0.091,             0.11408,              0.0539,            0.012666,             0.12128,             0.16385,          4.8838e-08,           0.0096535,           0.0096535,           0.0096535
                  23,             0.12611,             0.11788,          3.8656e-08,               0.091,             0.11408,              0.0539,            0.012666,             0.12128,             0.16385,          4.8838e-08,            0.009637,            0.009637,            0.009637
                  24,             0.12761,             0.10927,          3.8345e-08,             0.11063,             0.13331,            0.065305,            0.015888,             0.12067,             0.16945,          5.1686e-08,           0.0096205,           0.0096205,           0.0096205
                  25,             0.12197,             0.11642,          3.8197e-08,             0.11063,             0.13331,            0.065305,            0.015888,             0.12067,             0.16945,          5.1686e-08,            0.009604,            0.009604,            0.009604
                  26,             0.12185,             0.12844,          3.9165e-08,             0.12027,             0.14626,            0.071033,            0.018271,             0.12046,             0.19997,          6.2288e-08,           0.0095875,           0.0095875,           0.0095875
                  27,             0.12328,            0.092045,          4.2027e-08,             0.12027,             0.14626,            0.071033,            0.018271,             0.12046,             0.19997,          6.2288e-08,            0.009571,            0.009571,            0.009571
                  28,             0.12666,              0.1208,          4.0188e-08,             0.13764,             0.17134,            0.086264,            0.022263,             0.11857,             0.16856,          5.0975e-08,           0.0095545,           0.0095545,           0.0095545
                  29,             0.12204,              0.1072,          3.9382e-08,             0.13764,             0.17134,            0.086264,            0.022263,             0.11857,             0.16856,          5.0975e-08,            0.009538,            0.009538,            0.009538
                  30,             0.12223,             0.11516,          3.8626e-08,             0.14372,             0.17635,            0.089413,            0.023566,             0.11732,             0.16608,          5.0072e-08,           0.0095215,           0.0095215,           0.0095215
                  31,             0.12124,             0.13349,          3.7417e-08,             0.14372,             0.17635,            0.089413,            0.023566,             0.11732,             0.16608,          5.0072e-08,            0.009505,            0.009505,            0.009505
                  32,             0.11765,              0.1082,          3.9134e-08,             0.14333,             0.17969,            0.091773,            0.026215,             0.11552,             0.15309,          4.2537e-08,           0.0094885,           0.0094885,           0.0094885
                  33,              0.1188,            0.099513,          3.8459e-08,             0.14333,             0.17969,            0.091773,            0.026215,             0.11552,             0.15309,          4.2537e-08,            0.009472,            0.009472,            0.009472
                  34,             0.11982,              0.1229,          3.6389e-08,             0.14415,             0.17885,            0.087386,            0.022158,             0.11554,             0.16131,          4.6047e-08,           0.0094555,           0.0094555,           0.0094555
                  35,             0.11996,             0.12161,          3.6799e-08,             0.14415,             0.17885,            0.087386,            0.022158,             0.11554,             0.16131,          4.6047e-08,            0.009439,            0.009439,            0.009439
                  36,             0.12184,             0.12561,          3.6723e-08,               0.137,             0.17175,            0.084646,            0.022348,             0.11536,             0.17205,          4.7003e-08,           0.0094225,           0.0094225,           0.0094225
                  37,             0.11984,             0.15108,          3.5732e-08,               0.137,             0.17175,            0.084646,            0.022348,             0.11536,             0.17205,          4.7003e-08,            0.009406,            0.009406,            0.009406
                  38,             0.12021,             0.10709,          3.6486e-08,             0.12367,             0.15504,            0.074787,            0.020228,             0.11477,             0.17038,          4.4547e-08,           0.0093895,           0.0093895,           0.0093895
                  39,             0.11925,            0.096588,          3.7009e-08,             0.12367,             0.15504,            0.074787,            0.020228,             0.11477,             0.17038,          4.4547e-08,            0.009373,            0.009373,            0.009373
                  40,             0.11939,             0.10481,          3.6547e-08,             0.13671,             0.17133,            0.082723,             0.02283,             0.11385,              0.1655,          4.2152e-08,           0.0093565,           0.0093565,           0.0093565
                  41,             0.11969,             0.10867,          3.5698e-08,             0.13671,             0.17133,            0.082723,             0.02283,             0.11385,              0.1655,          4.2152e-08,             0.00934,             0.00934,             0.00934
                  42,             0.11969,             0.11311,          3.5448e-08,             0.13633,             0.17092,            0.082409,             0.02224,             0.11326,             0.17708,          4.3211e-08,           0.0093235,           0.0093235,           0.0093235
                  43,             0.11901,             0.11697,          3.5516e-08,             0.13633,             0.17092,            0.082409,             0.02224,             0.11326,             0.17708,          4.3211e-08,            0.009307,            0.009307,            0.009307
