               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14405,            0.079298,           4.959e-08,           0.0073171,            0.084428,           0.0050918,          0.00098511,             0.13036,            0.088909,          4.6594e-08,            0.070361,           0.0032932,           0.0032932
                   1,             0.13001,            0.074547,          4.3802e-08,            0.068372,             0.18668,            0.034524,           0.0080597,             0.11677,             0.12296,          4.9183e-08,            0.040351,           0.0066156,           0.0066156
                   2,             0.11703,            0.085332,          3.9687e-08,            0.057536,             0.18668,            0.025832,           0.0065647,             0.11223,             0.10604,          3.7619e-08,            0.010329,            0.009927,            0.009927
                   3,             0.11492,            0.091044,           3.444e-08,            0.079392,             0.25328,            0.037085,           0.0079202,             0.11189,             0.13777,          3.1467e-08,           0.0099505,           0.0099505,           0.0099505
                   4,             0.10944,             0.10238,          3.1017e-08,             0.13814,             0.29081,            0.079142,            0.018524,             0.10491,             0.11546,          3.0819e-08,           0.0099505,           0.0099505,           0.0099505
                   5,             0.10456,             0.11213,           3.053e-08,              0.1824,             0.36773,             0.11216,            0.027139,            0.099498,             0.11327,          3.0071e-08,            0.009934,            0.009934,            0.009934
                   6,             0.10166,            0.098012,          3.0068e-08,             0.12245,             0.20638,            0.049375,            0.010603,             0.10458,             0.12165,          2.9874e-08,           0.0099175,           0.0099175,           0.0099175
                   7,             0.10522,             0.10271,          2.9515e-08,              0.4678,             0.47936,             0.36813,            0.081876,             0.09779,             0.12214,            2.88e-08,            0.009901,            0.009901,            0.009901
                   8,             0.10033,            0.099028,          2.9779e-08,             0.21845,             0.33396,              0.1439,             0.03119,             0.10584,             0.10319,          3.0258e-08,           0.0098845,           0.0098845,           0.0098845
                   9,            0.099966,             0.10075,          3.0178e-08,             0.38661,             0.45526,             0.33005,            0.082757,            0.092723,             0.11873,          3.0299e-08,            0.009868,            0.009868,            0.009868
                  10,            0.097858,             0.11123,          3.0194e-08,             0.38518,             0.45497,             0.33123,            0.080156,            0.092887,             0.11289,          3.0155e-08,           0.0098515,           0.0098515,           0.0098515
                  11,            0.092416,              0.1112,          3.0138e-08,             0.48154,             0.49751,             0.41942,               0.103,            0.090647,             0.11722,          2.9668e-08,            0.009835,            0.009835,            0.009835
                  12,            0.097225,             0.10609,          2.9805e-08,             0.50117,             0.52345,             0.43248,             0.10497,            0.090543,             0.12825,          2.9982e-08,           0.0098185,           0.0098185,           0.0098185
                  13,            0.093696,             0.11069,          2.9751e-08,             0.57207,             0.52908,              0.5013,             0.12724,            0.089119,             0.12118,          2.9785e-08,            0.009802,            0.009802,            0.009802
                  14,            0.094148,             0.10527,          3.0018e-08,             0.42291,             0.46904,             0.37544,            0.091382,            0.090382,             0.11445,          3.0135e-08,           0.0097855,           0.0097855,           0.0097855
                  15,              0.0929,             0.10704,          3.0187e-08,              0.4807,             0.50469,             0.43322,             0.11059,            0.089597,             0.11392,          3.0075e-08,            0.009769,            0.009769,            0.009769
                  16,            0.092598,             0.10275,          3.0024e-08,             0.56665,             0.49437,             0.46979,              0.1216,            0.090589,             0.11287,          2.9912e-08,           0.0097525,           0.0097525,           0.0097525
                  17,             0.09281,             0.11616,          3.0393e-08,             0.44276,             0.44465,             0.38524,            0.090733,            0.090601,             0.11056,          3.0535e-08,            0.009736,            0.009736,            0.009736
                  18,              0.0926,             0.10415,           3.049e-08,             0.58218,             0.57036,             0.55006,             0.16306,            0.084743,             0.11736,          3.0492e-08,           0.0097195,           0.0097195,           0.0097195
                  19,            0.089964,             0.10601,          3.0831e-08,             0.55136,             0.50841,             0.46795,             0.12516,            0.090205,             0.11495,          3.1032e-08,            0.009703,            0.009703,            0.009703
                  20,            0.092459,             0.10599,          3.0967e-08,             0.55473,             0.52251,             0.51315,              0.1536,            0.086006,             0.11392,          3.0747e-08,           0.0096865,           0.0096865,           0.0096865
                  21,            0.090182,             0.10443,          3.1125e-08,             0.61031,             0.55816,             0.52171,             0.14822,            0.084932,             0.12744,          3.0349e-08,             0.00967,             0.00967,             0.00967
                  22,            0.091264,             0.11078,          3.1211e-08,             0.62338,             0.57974,             0.56208,             0.16021,            0.085213,             0.11995,          3.0643e-08,           0.0096535,           0.0096535,           0.0096535
                  23,             0.09113,             0.11885,          3.0981e-08,             0.61454,             0.59662,             0.58399,             0.18598,            0.082012,               0.118,          3.0991e-08,            0.009637,            0.009637,            0.009637
                  24,            0.090474,             0.10641,          3.0939e-08,             0.57355,             0.52108,             0.47083,             0.11681,            0.089617,             0.11111,          3.1088e-08,           0.0096205,           0.0096205,           0.0096205
                  25,            0.092243,            0.095239,          3.1078e-08,             0.67409,             0.61538,             0.62588,             0.19971,            0.081123,             0.11542,          3.0539e-08,            0.009604,            0.009604,            0.009604
