               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15683,             0.22614,           4.827e-08,               0.005,            0.010029,           0.0025455,          0.00069919,             0.15288,             0.36593,          4.9641e-08,              0.0937,              0.0007,              0.0007
                   1,             0.15574,             0.20794,          4.9267e-08,               0.005,            0.010029,            0.002581,          0.00054406,             0.15059,              0.3727,          4.9291e-08,            0.086498,           0.0014975,           0.0014975
                   2,             0.15654,             0.21942,          4.9089e-08,             0.00375,           0.0075219,           0.0024259,           0.0005161,             0.14817,             0.37287,          4.8312e-08,            0.079292,           0.0022924,           0.0022924
                   3,             0.15138,             0.22891,          4.6222e-08,               0.005,           0.0087756,           0.0027388,          0.00058127,             0.14602,             0.37477,          4.9314e-08,            0.072085,           0.0030847,           0.0030847
                   4,             0.14979,             0.22595,          4.5645e-08,            0.024103,            0.039281,            0.013241,           0.0029041,             0.14439,             0.37595,          5.0991e-08,            0.064874,           0.0038743,           0.0038743
                   5,             0.15021,             0.19863,          4.7357e-08,            0.046667,            0.081906,            0.026451,           0.0062345,             0.14247,             0.36785,          5.6616e-08,            0.057661,           0.0046612,           0.0046612
                   6,             0.14632,             0.23199,          4.6203e-08,             0.05011,            0.084831,            0.027931,           0.0062911,             0.14141,              0.3318,          5.7818e-08,            0.050446,           0.0054456,           0.0054456
                   7,             0.14518,             0.22921,          4.4375e-08,            0.051606,            0.087756,             0.03013,            0.006574,             0.13957,              0.3571,          5.3852e-08,            0.043227,           0.0062272,           0.0062272
                   8,             0.14327,             0.22468,          4.4347e-08,            0.037778,            0.071041,            0.023133,           0.0048616,             0.13953,              0.3171,          5.8516e-08,            0.036006,           0.0070063,           0.0070063
                   9,             0.14148,             0.23698,          4.3112e-08,            0.037778,            0.071041,            0.023133,           0.0048616,             0.13953,              0.3171,          5.8516e-08,            0.028783,           0.0077827,           0.0077827
                  10,              0.1419,             0.21414,          4.2988e-08,            0.028542,             0.05725,            0.015637,           0.0031849,             0.13749,              0.3289,           5.595e-08,            0.021556,           0.0085565,           0.0085565
                  11,             0.14115,             0.23364,          4.2128e-08,            0.028542,             0.05725,            0.015637,           0.0031849,             0.13749,              0.3289,           5.595e-08,            0.014328,           0.0093276,           0.0093276
                  12,             0.13856,             0.23387,          4.1966e-08,            0.025505,            0.050564,            0.013401,            0.002847,             0.13626,             0.32326,          5.3119e-08,            0.009802,            0.009802,            0.009802
                  13,             0.13864,             0.21582,          4.0808e-08,            0.025505,            0.050564,            0.013401,            0.002847,             0.13626,             0.32326,          5.3119e-08,            0.009802,            0.009802,            0.009802
                  14,             0.13873,             0.21728,          4.0828e-08,            0.043393,            0.071041,            0.022372,           0.0047118,              0.1341,             0.34385,          4.5066e-08,           0.0097855,           0.0097855,           0.0097855
